X,Y
-113453.531107048,-880260.925370081
-113439.449649345,-880265.11213333
-113425.523217648,-880269.254950311
-113411.595101444,-880273.400805979
-113397.665486338,-880277.549382899
-113383.577554943,-880281.747866158
-113369.644293633,-880285.90310903
-113355.709321043,-880290.061466819
-113341.615718573,-880294.270301911
-113327.676766477,-880298.435917213
-113313.735536166,-880302.605689517
-113299.792306153,-880306.77907616
-113285.690001176,-880311.003681812
-113271.898754253,-880315.138546226
-113257.791608401,-880319.371721098
-113243.838774652,-880323.562076958
-113230.040047586,-880327.709909298
-113215.924972563,-880331.9565783
-113201.964017345,-880336.160463334
-113187.999925924,-880340.369323736
-113174.033052776,-880344.582460889
-113160.219924704,-880348.753044979
-113146.089602803,-880353.023171232
-113132.11306545,-880357.250418321
-113118.290034381,-880361.435033696
-113104.149226926,-880365.719593564
-113090.318984117,-880369.913703497
-113076.327905059,-880374.160107243
-113062.489943509,-880378.363805882
-113048.333279319,-880382.668058292
-113034.329756406,-880386.929324608
-113020.479011074,-880391.147915625
-113006.466451522,-880395.419378198
-112992.606420254,-880399.648219413
-112978.584169155,-880403.930202182
-112964.714237162,-880408.169607205
-112950.681213173,-880412.462853937
-112936.643191989,-880416.761174454
-112922.757170235,-880421.016919177
-112908.707843927,-880425.326392208
-112894.81030253,-880429.593256961
-112880.907290969,-880433.865227839
-112866.997640839,-880438.143261372
-112853.081670329,-880442.426892563
-112839.001226636,-880446.764636837
-112825.07201732,-880451.059463313
-112811.135947414,-880455.359812958
-112797.193427647,-880459.665157616
-112783.243092182,-880463.976338425
-112769.285315041,-880468.292790694
-112755.319910305,-880472.61441816
-112741.347350106,-880476.940687489
-112727.366168636,-880481.272317109
-112713.536196741,-880485.559264107
-112699.538651184,-880489.900347722
-112685.532631039,-880494.245991152
-112671.677660081,-880498.546452371
-112657.654362318,-880502.900840824
-112643.782035491,-880507.209773694
-112629.900893565,-880511.52278939
-112615.850733305,-880515.889617447
-112601.951521847,-880520.210658824
-112588.043186442,-880524.535625083
-112573.965222782,-880528.9144369
-112560.038288465,-880533.247256856
-112546.102029125,-880537.583966802
-112532.156422887,-880541.924566212
-112518.040601406,-880546.319167484
-112504.076184697,-880550.667589845
-112490.262711272,-880554.970066029
-112476.279741259,-880559.326382674
-112462.287466572,-880563.686760077
-112448.446500281,-880568.001250475
-112434.435744953,-880572.369903692
-112420.415702924,-880576.74282001
-112406.54732362,-880581.069910125
-112392.508859948,-880585.451509271
-112378.622294416,-880589.787353286
-112364.727478571,-880594.127280772
-112350.822913087,-880598.472145782
-112336.74791627,-880602.872031091
-112322.825290645,-880607.226251443
-112308.893704027,-880611.585200943
-112294.9539184,-880615.948509017
-112281.004421258,-880620.317015777
-112267.045982028,-880624.690334969
-112253.079349489,-880629.068088763
-112239.103009028,-880633.451121439
-112225.280728806,-880637.787804448
-112211.286487161,-880642.180645703
-112197.446485499,-880646.527081965
-112183.43429008,-880650.92985158
-112169.413838497,-880655.33722646
-112155.383612464,-880659.7501034
-112141.508083767,-880664.116465876
-112127.623787185,-880668.487841772
-112113.56687034,-880672.915993965
-112099.828237659,-880677.246169174
-112085.917759066,-880681.632720904
-112071.834367886,-880686.076275753
-112057.906333016,-880690.473058253
-112043.969563277,-880694.874931214
-112030.024048963,-880699.281906455
-112016.233641436,-880703.642269589
-112002.270730079,-880708.059417096
-111988.299067798,-880712.481688924
-111974.318635487,-880716.909094694
-111960.493701946,-880721.289679638
-111946.495837825,-880725.727303413
-111932.65364904,-880730.117984891
-111918.638280986,-880734.565824377
-111904.778733546,-880738.966605229
-111890.745744696,-880743.424663487
-111876.868711867,-880747.835536707
-111862.817958118,-880752.303811691
-111848.92326895,-880756.724795155
-111835.020509299,-880761.150373887
-111821.10809186,-880765.581421544
-111807.1867449,-880770.017498983
-111793.257207588,-880774.458156112
-111779.317905107,-880778.904234084
-111765.369590591,-880783.355269632
-111751.578845206,-880787.757943682
-111737.612585792,-880792.218730299
-111723.638085769,-880796.683931498
-111709.653795343,-880801.154345093
-111695.827548949,-880805.575985566
-111681.825413028,-880810.055765679
-111667.981551059,-880814.486579273
-111653.961602714,-880818.97554821
-111640.100145572,-880823.415363409
-111626.2299328,-880827.859601129
-111612.183320458,-880832.362041096
-111598.295518282,-880836.815049432
-111584.398972994,-880841.27235345
