Lat, Lon, Ice_surf, Ice_base, Distance, X_coord, Y_coord
81.538698,-50.458961,119.3225,-405.1775,1791.52436,-87350.1643,-914027.891
81.538703,-50.45812,120.1487,-415.1713,1805.01278,-87336.6962,-914028.631
81.538708,-50.457278,120.9649,-425.1751,1818.5172,-87323.2122,-914029.373
81.538712,-50.456436,121.7845,-435.1755,1832.01766,-87309.7385,-914030.222
81.538717,-50.455594,122.6211,-445.1589,1845.52207,-87296.2544,-914030.963
81.538722,-50.454753,123.4477,-452.4023,1859.01045,-87282.7863,-914031.702
81.538726,-50.453911,124.289,-459.641,1872.51089,-87269.3126,-914032.551
81.538731,-50.45307,125.126,-466.874,1885.99927,-87255.8445,-914033.29
81.538736,-50.452229,125.963,-473.557,1899.48763,-87242.3763,-914034.029
81.538741,-50.451388,126.81,-480.23,1912.97599,-87228.9082,-914034.767
81.538745,-50.450547,127.6471,-486.9129,1926.46038,-87215.4504,-914035.614
81.53875,-50.449706,128.5075,-493.5825,1939.94872,-87201.9823,-914036.352
81.538755,-50.448865,129.3511,-500.2589,1953.43705,-87188.5142,-914037.09
81.538759,-50.448024,130.1957,-506.9343,1966.92142,-87175.0564,-914037.936
81.538764,-50.447183,131.069,-514.451,1980.40974,-87161.5882,-914038.673
81.538769,-50.446343,131.9289,-521.9711,1993.88204,-87148.136,-914039.409
81.538773,-50.445503,132.7879,-529.5021,2007.35037,-87134.6942,-914040.253
81.538778,-50.444662,133.6537,-537.0163,2020.83867,-87121.226,-914040.99
81.538783,-50.443822,134.5028,-544.5572,2034.31095,-87107.7738,-914041.725
81.538787,-50.442982,135.1602,-552.1598,2047.77926,-87094.3319,-914042.568
81.538792,-50.442142,135.7985,-559.7815,2061.25152,-87080.8797,-914043.303
81.538796,-50.441302,136.4468,-569.9432,2074.71981,-87067.4378,-914044.146
81.538801,-50.440462,137.0938,-580.0962,2088.19206,-87053.9856,-914044.88
81.538806,-50.439622,137.7433,-590.2567,2101.6643,-87040.5334,-914045.615
81.53881,-50.438783,138.3915,-600.4185,2115.11656,-87027.1074,-914046.455
81.538815,-50.437943,139.0398,-610.5702,2128.58878,-87013.6552,-914047.189
81.538819,-50.437104,139.698,-618.082,2142.04102,-87000.2292,-914048.03
81.538824,-50.436265,140.3463,-625.6037,2155.49722,-86986.7929,-914048.761
81.538829,-50.435425,140.9908,-633.1192,2168.96943,-86973.3407,-914049.495
81.538833,-50.434586,141.6369,-640.6431,2182.42164,-86959.9147,-914050.335
81.538838,-50.433747,142.3011,-648.1489,2195.87782,-86946.4784,-914051.066
81.538842,-50.432908,142.9543,-653.0257,2209.33003,-86933.0525,-914051.905
81.538847,-50.432069,143.6076,-657.8924,2222.78619,-86919.6162,-914052.636
81.538851,-50.43123,144.25,-662.78,2236.23838,-86906.1902,-914053.475
81.538856,-50.430391,144.9103,-667.6497,2249.69453,-86892.7538,-914054.206
81.53886,-50.429553,145.5557,-672.5343,2263.13069,-86879.3438,-914055.043
81.538865,-50.428714,146.1936,-677.4264,2276.58682,-86865.9075,-914055.773
81.538869,-50.427875,146.8388,-682.3012,2290.03898,-86852.4815,-914056.611
81.538874,-50.427037,147.4971,-687.1729,2303.47909,-86839.0611,-914057.339
81.538878,-50.426199,148.1453,-692.0547,2316.91522,-86825.651,-914058.176
81.538883,-50.42536,148.7936,-696.9364,2330.37132,-86812.2147,-914058.905
81.538887,-50.424522,149.4428,-700.1972,2343.80744,-86798.8046,-914059.741
81.538892,-50.423684,150.0901,-703.4699,2357.24752,-86785.3842,-914060.468
81.538896,-50.422846,150.4184,-706.8716,2370.68362,-86771.9741,-914061.304
81.538901,-50.422008,150.757,-710.273,2384.12368,-86758.5537,-914062.031
81.538905,-50.42117,151.1049,-713.6651,2397.55977,-86745.1436,-914062.866
81.53891,-50.420333,151.4343,-717.0657,2410.98381,-86731.7392,-914063.591
81.538914,-50.419495,151.7814,-720.4586,2424.41988,-86718.3291,-914064.426
81.538919,-50.418658,152.1216,-723.8584,2437.84391,-86704.9246,-914065.15
81.538923,-50.41782,152.4627,-727.2473,2451.27996,-86691.5145,-914065.985
81.538928,-50.416983,152.819,-729.111,2464.70397,-86678.11,-914066.709
81.538932,-50.416145,153.1676,-730.9824,2478.14002,-86664.6999,-914067.543
81.538936,-50.415308,153.5063,-732.8537,2491.56004,-86651.3057,-914068.375
81.538941,-50.414471,153.859,-734.721,2504.98403,-86637.9013,-914069.099
81.538945,-50.413635,154.2181,-736.5719,2518.38802,-86624.523,-914069.93
81.53895,-50.412798,154.5672,-738.4428,2531.81199,-86611.1185,-914070.653
81.538954,-50.411961,154.9263,-740.2937,2545.23198,-86597.7243,-914071.484
81.538958,-50.411124,155.2853,-742.1547,2558.65197,-86584.3301,-914072.316
81.538963,-50.410288,155.6344,-744.0256,2572.05991,-86570.9416,-914073.037
81.538967,-50.409451,155.9935,-745.8765,2585.47988,-86557.5474,-914073.868
81.538971,-50.408615,156.3495,-746.5505,2598.88383,-86544.1691,-914074.697
81.538976,-50.407778,156.719,-747.221,2612.30777,-86530.7646,-914075.419
81.53898,-50.406942,157.0807,-747.8893,2625.7117,-86517.3863,-914076.248
81.538984,-50.406106,157.438,-748.562,2639.11563,-86504.008,-914077.077
81.538989,-50.40527,157.3275,-749.4425,2652.52353,-86490.6195,-914077.797
81.538993,-50.404434,157.217,-750.323,2665.92744,-86477.2412,-914078.625
81.538997,-50.403598,157.1165,-751.1835,2679.33135,-86463.8629,-914079.453
81.539002,-50.402763,156.9961,-752.0739,2692.72322,-86450.4902,-914080.171
81.539006,-50.401927,156.8854,-752.9446,2706.12711,-86437.1119,-914080.998
81.53901,-50.401092,156.7749,-753.8251,2719.51498,-86423.7496,-914081.824
81.539014,-50.400257,156.6634,-754.6966,2732.90285,-86410.3872,-914082.65
81.539019,-50.399421,156.5425,-755.5875,2746.3107,-86396.9986,-914083.369
81.539023,-50.398586,156.4215,-756.4985,2759.69855,-86383.6362,-914084.194
81.539027,-50.397751,156.3006,-757.4094,2773.08639,-86370.2738,-914085.019
81.539031,-50.396916,156.1797,-758.3303,2786.47423,-86356.9114,-914085.844
81.539036,-50.396081,156.0619,-759.2381,2799.86605,-86343.5388,-914086.561
81.53904,-50.395246,155.9479,-760.1421,2813.25387,-86330.1764,-914087.385
81.539044,-50.394412,155.8269,-761.0531,2826.62567,-86316.8299,-914088.208
81.539048,-50.393577,155.706,-761.974,2840.01348,-86303.4675,-914089.032
81.539052,-50.392743,155.5946,-762.8754,2853.38527,-86290.121,-914089.855
81.539056,-50.391908,155.4894,-763.7706,2866.77306,-86276.7586,-914090.679
81.53906,-50.391074,155.3789,-764.6811,2880.14484,-86263.4121,-914091.501
81.539065,-50.39024,155.2683,-764.7517,2893.5206,-86250.0554,-914092.214
81.539069,-50.389406,155.1643,-764.8257,2906.89236,-86236.7089,-914093.036
81.539073,-50.388572,155.081,-764.879,2920.26411,-86223.3624,-914093.857
81.539077,-50.387738,154.9768,-764.9532,2933.63586,-86210.0159,-914094.679
81.539081,-50.386905,154.8817,-765.0183,2946.99158,-86196.6854,-914095.498
81.539085,-50.386071,154.7839,-765.0761,2960.36332,-86183.3389,-914096.319
81.539089,-50.385238,154.6923,-765.1377,2973.71903,-86170.0083,-914097.138
81.539093,-50.384404,154.6026,-765.1974,2987.09075,-86156.6618,-914097.959
81.539097,-50.383571,154.5223,-765.2477,3000.44645,-86143.3312,-914098.778
81.5391,-50.382738,154.443,-765.297,3013.79904,-86130.0108,-914099.705
81.539104,-50.381905,154.3537,-764.1963,3027.15473,-86116.6803,-914100.523
81.539108,-50.381072,154.2744,-763.0856,3040.51041,-86103.3497,-914101.342
81.539112,-50.38024,154.1961,-761.9839,3053.85007,-86090.035,-914102.158
81.539116,-50.379407,154.1259,-760.8641,3067.20574,-86076.7044,-914102.976
81.539119,-50.378575,154.0484,-759.7516,3080.54228,-86063.4,-914103.901
81.539123,-50.377743,153.9818,-758.6382,3093.88192,-86050.0853,-914104.716
81.539127,-50.37691,153.9233,-757.5067,3107.23757,-86036.7547,-914105.534
81.539131,-50.376078,153.8649,-756.3751,3120.5772,-86023.44,-914106.349
81.539134,-50.375247,153.8065,-755.2535,3133.89769,-86010.1515,-914107.272
81.539138,-50.374415,153.7557,-754.1143,3147.23731,-85996.8368,-914108.087
81.539142,-50.373583,153.7081,-751.6519,3160.57693,-85983.5221,-914108.902
81.539145,-50.372752,153.6558,-749.1842,3173.8974,-85970.2336,-914109.824
81.539149,-50.371921,153.598,-746.732,3187.22099,-85956.9348,-914110.637
81.539153,-50.371089,153.5497,-744.2603,3200.56058,-85943.6201,-914111.451
81.539156,-50.370258,153.4935,-741.8065,3213.88104,-85930.3315,-914112.372
81.53916,-50.369428,153.4563,-742.5737,3227.18859,-85917.0487,-914113.183
81.539163,-50.368597,153.4091,-743.3609,3240.50904,-85903.7601,-914114.104
81.539167,-50.367766,153.3648,-744.1452,3253.8326,-85890.4614,-914114.916
81.539171,-50.366935,153.3223,-744.9177,3267.15615,-85877.1626,-914115.728
81.539174,-50.366105,153.2716,-745.7084,3280.46056,-85863.8899,-914116.647
81.539178,-50.365275,153.2203,-746.4997,3293.76808,-85850.6071,-914117.457
